id,popularity,original_title,director,runtime,genres,production_companies,vote_count,vote_average,release_year,budget_adj,revenue_adj
275601,0.956096,Ricki and the Flash,Jonathan Demme,100,Comedy|Drama|Music,Columbia TriStar|Clinica Estetico|LStar Capital,152,5.5,2015,16559992.7136032,38019285.0315145
251516,0.953046,Kung Fury,David Sandberg,31,Action|Comedy|Science Fiction|Fantasy,Laser Unicorns,487,7.7,2015,579617.224968421,0.0
304372,0.950793,The Perfect Guy,David M. Rosenthal,100,Drama|Thriller,Screen Gems,122,5.6,2015,11039995.1424021,55451294.7614303
324807,0.938432,A Bigger Splash,Luca Guadagnino,120,Crime|Drama|Mystery|Thriller,StudioCanal|Ministero per i Beni e le AttivitÃ  Culturali (MiBAC)|Frenesy Film Company|Sensi Contemporanei Cinema e Audiovisivo|Cota Film,69,5.8,2015,0.0,1781601.29609542
252512,0.93762,While We're Young,Noah Baumbach,97,Drama|Comedy,Scott Rudin Productions|A24,265,5.9,2015,9199995.95200178,6980483.12858742
257091,0.927339,Get Hard,Etan Cohen,100,Comedy,Gary Sanchez Productions|Warner Bros.,661,5.9,2015,36799983.80800711,97990493.6441828
347969,0.913085,The Ridiculous 6,Frank Coraci,119,Comedy|Western,Happy Madison Productions,252,4.8,2015,55199975.71201059,0.0
293646,0.906036,The 33,Patricia Riggen,120,History|Drama,Alcon Entertainment|Phoenix Pictures|Fabula|Half Circle,262,5.8,2015,22999989.8800044,22910495.079382107
245168,0.898295999999999,Suffragette,Sarah Gavron,106,Drama|History,Ruby Films|PathÃ©|Film4,231,7.1,2015,12879994.3328024,14722219.9222232
301351,0.880937999999999,We Are Your Friends,Max Joseph,96,Drama|Music|Romance,Working Title Films,412,6.2,2015,5519997.57120106,10232318.2977799
248574,0.880268,Barely Lethal,Kyle Newman,96,Adventure|Action|Comedy,A24,215,5.5,2015,0.0,5588.997540841079
225728,0.874641,Macbeth,Justin Kurzel,113,History|Drama|War,Studio Canal|See-Saw Films|Creative Scotland|Film4|Anton Capital Entertainment (ACE),269,6.4,2015,0.0,12137055.0996957
326425,0.872149,Extraction,Steven C. Miller,83,Action|Thriller,Emmett/Furla Films|Oasis Films|Aperture Entertainment|Twirly Films Limited,57,4.2,2015,0.0,15432.9932094829
250734,0.842202,Far from the Madding Crowd,Thomas Vinterberg,119,Romance|Drama,Fox Searchlight Pictures|DNA Films|BBC Films,220,6.9,2015,0.0,27811566.6029106
249688,0.8369409999999989,The End of the Tour,James Ponsoldt,106,Drama,A24,126,7.3,2015,0.0,2762652.06443309
268238,0.8324870000000001,The Second Best Exotic Marigold Hotel,John Madden,122,Drama|Comedy,Participant Media|Fox Searchlight|Blueprint Pictures,196,6.4,2015,9199995.95200178,79099969.91601321
256962,0.829111,Little Boy,Alejandro Monteverde,106,Comedy|Drama|War,Metanoia Films,113,7.1,2015,18399991.9040035,5906690.88105601
302528,0.820691,Remember,Atom Egoyan,94,Drama|Thriller,Serendipity Point Films|Egoli Tossell Film AG,75,7.7,2015,0.0,1827684.9958186
222936,0.814206,Aloha,Cameron Crowe,105,Adventure|Comedy|Romance,Columbia Pictures|Vinyl Films|Regency Enterprises|Sony Pictures Entertainment (SPE)|RatPac Entertainment,469,5.2,2015,34039985.0224065,24150007.7739965
316002,0.813893,Accidental Love,David O. Russell|Stephen Greene,100,Romance|Comedy,K. JAM Media,64,3.6,2015,23919989.4752046,0.0
10317,0.795762,Our Brand Is Crisis,David Gordon Green,108,Drama|Comedy,Participant Media|Smokehouse Pictures,122,5.7,2015,25759988.665604897,6442077.28548599
