id,popularity,original_title,director,runtime,genres,production_companies,vote_count,vote_average,release_year,budget_adj,revenue_adj
274854,3.080505,The Last Witch Hunter,Breck Eisner,106,Fantasy|Action|Adventure,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,879,5.6,2015,82799963.56801601,129164861.167461
321697,3.0795220000000003,Steve Jobs,Danny Boyle,122,History|Drama,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,1035,6.9,2015,27599987.856005296,31686509.2179359
203801,3.053421,The Man from U.N.C.L.E.,Guy Ritchie,116,Comedy|Action|Adventure,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,1548,7.0,2015,68999969.64001329,99493456.50287908
293863,3.025852,The Age of Adaline,Lee Toland Krieger,112,Fantasy|Drama|Romance,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,1221,7.3,2015,22999989.8800044,39219376.6634742
325348,3.023253,Hardcore Henry,Ilya Naishuller,97,Action|Adventure|Science Fiction,Bazelevs Production|Versus Pictures,396,5.9,2015,9199995.95200178,13187080.9976843
228161,2.976436,Home,Tim Johnson,94,Fantasy|Comedy|Animation|Science Fiction|Family,Twentieth Century Fox Film Corporation|DreamWorks Animation,1060,6.9,2015,124199945.352024,339361177.121082
286565,2.968254,Paper Towns,Jake Schreier,109,Drama|Mystery|Romance,Fox 2000 Pictures,1252,6.2,2015,11039995.1424021,78671281.38463621
265208,2.93234,Wild Card,Simon West,92,Thriller|Crime|Drama,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services,481,5.3,2015,27599987.856005296,0.0
254320,2.885126,The Lobster,Yorgos Lanthimos,118,Thriller|Comedy|Drama|Romance|Science Fiction,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,638,6.6,2015,3679998.38080071,8339346.45068756
258480,2.883233,Carol,Todd Haynes,118,Romance|Drama,Killer Films|Film4|Number 9 Films,562,7.1,2015,10855995.2233621,37050347.8978469
257211,2.814802,The Intern,Nancy Meyers,121,Comedy,Waverly Films|Warner Bros.,1255,7.1,2015,32199985.8320062,178999419.480255
253412,2.798017,Everest,Baltasar KormÃ¡kur,121,Adventure|Drama,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,1172,6.7,2015,50599977.7360098,187153294.93255
274479,2.793297,Joy,David O. Russell,124,Comedy|Drama,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,1001,6.4,2015,55199975.71201059,93043293.3409509
257088,2.6144990000000004,Point Break,Ericson Core,114,Action|Crime|Thriller,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,505,5.5,2015,96599957.49601872,123021159.990689
295964,2.584264,Burnt,John Wells,100,Drama,Double Feature Films|PeaPie Films|3 Arts Entertainment,631,6.3,2015,18399991.9040035,33678188.7415969
238615,2.578919,Self/less,Tarsem Singh,116,Science Fiction|Mystery|Thriller,Endgame Entertainment|Ram Bergman Productions,719,6.2,2015,23919989.4752046,28081355.564203493
210860,2.575711,Mortdecai,David Koepp,106,Comedy|Adventure,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,696,5.3,2015,55199975.71201059,27985062.8865723
306819,2.557859,The Danish Girl,Tom Hooper,120,Drama,Pretty Pictures|Working Title Films|ArtÃ©mis Productions|Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique|Taxshelter. be,867,7.3,2015,13799993.9280026,59056175.1752829
201088,2.5507470000000003,Blackhat,Michael Mann,133,Mystery|Crime|Action|Thriller|Drama,Universal Pictures|Forward Pass|Legendary Pictures,584,5.0,2015,64399971.6640124,16332697.613613
273481,2.487849,Sicario,Denis Villeneuve,121,Action|Crime|Drama|Mystery|Thriller,Lionsgate|Thunder Road Pictures|Black Label Media,1479,7.1,2015,27599987.856005296,77303716.7063646
166424,2.487042,Fantastic Four,Josh Trank,100,Action|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC),1565,4.4,2015,110399952.34402,154539320.322699
310131,2.46449,The Witch,Robert Eggers,92,Mystery|Horror,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films,700,5.8,2015,3219998.58320062,37190013.0363942
238713,2.404473,Spy,Paul Feig,120,Action|Comedy|Crime,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment,1840,6.9,2015,59799973.6880115,216812826.082356
256591,2.395366,Focus,Glenn Ficarra|John Requa,105,Romance|Comedy|Crime|Drama,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films,1831,6.7,2015,46091979.7195289,141645863.63582
249070,2.354654,Hitman: Agent 47,Aleksander Bach,96,Action|Crime|Thriller,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment,820,5.5,2015,32199985.8320062,75759810.18568349
205775,2.345821,In the Heart of the Sea,Ron Howard,122,Thriller|Drama|Adventure|Action|History,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media,805,6.4,2015,91999959.5200178,86315059.3813738
334074,2.331636,Survivor,James McTeigue,96,Crime|Thriller|Action,Nu Image Films|Winkler Films|Millennium Films|Survivor Productions,280,5.4,2015,18399991.9040035,0.0
